A  AX
ABBREVIATE  AX B R IY V IY EY T
ABDOMEN  AE B D AX M AX N
ABIDES  AX B AY D Z
ABILITY  AX B IH L IX T IY
ABLE  EY B EL
ABLY  EY B L IY
ABOLISH  AX B AA L IH SH
ABORIGINE  AE B AXR IH JH IX N IY
ABORIGINES  AE B AXR IH JH IX N IY Z
ABOUT  AX B AW T
ABOVE  AX B AH V
ABRUPTLY  AX B R AH P T L IY
ABSENCES  AE B S IX N S IX Z
ABSENT  AE B S IX N T
ABSOLUTE  AE B S AX L UW T
ABSOLUTION  AE B S AX L UW SH IX N
ABSORBED  AX B S AO R B D
ABSORPTION  AX B S AO R P SH IX N
ABSURD  AX B S ER D
ABSURDLY  AX B S ER D L IY
ABYSS  AX B IH S
ACADEMIC  AE K IX D EH M IH K
ACCELERATING  AE K S EH L AXR EY T IX NG
ACCELEROMETER  AE K S EH L AXR AA M AX T AXR
ACCELEROMETERS  AE K S EH L AXR AA M AX T AXR Z
ACCENT  AE K S EH N T
ACCEPT  AE K S EH P T
ACCEPTANCE  AE K S EH P T IX N S
ACCEPTED  AE K S EH P T IX D
ACCESS  AE K S EH S
ACCIDENT  AE K S IX D IX N T
ACCLAIM  AX K L EY M
ACCLAIMED  AX K L EY M D
ACCOMMODATE  AX K AA M AX D EY T
ACCOMPLISH  AX K AA M P L IH SH
ACCOMPLISHED  AX K AA M P L IH SH T
ACCOMPLISHMENTS  AX K AA M P L IH SH M AX N T S
ACCORDING  AX K AO R D IX NG
ACCORDINGLY  AX K AO R D IX NG L IY
ACCOUNT  AX K AW N T
ACCOUNTS  AX K AW N T S
ACCREDITATION  AX K R EH D IX T EY SH IX N
ACCURACY  AE K Y AXR AX S IY
ACCURATE  AE K Y AXR IX T
ACCUSATIONS  AE K Y UW Z EY SH IX N Z
ACCUSE  AX K Y UW Z
ACCUSINGLY  AX K Y UW Z IX NG L IY
ACE  EY S
ACHES  EY K S
ACHIEVE  AX CH IY V
ACHIEVED  AX CH IY V D
ACKNOWLEDGE  AE K N AA L IX JH
ACKNOWLEDGED  AE K N AA L IX JH D
ACQUIESCENCE  AE K W IY EH S IX N T S
ACQUIRE  AX K W AY AXR
ACRES  EY K AXR Z
